id,name,shape/point/0/xCoord,shape/point/0/yCoord,shape/point/1/xCoord,shape/point/1/yCoord,shape/point/2/xCoord,shape/point/2/yCoord,shape/point/3/xCoord,shape/point/3/yCoord,shape/point/4/xCoord,shape/point/4/yCoord,shape/point/5/xCoord,shape/point/5/yCoord,shape/point/6/xCoord,shape/point/6/yCoord,shape/_closed,centroid/xCoord,centroid/yCoord,neighbor/0,neighbor/1,neighbor/2,neighbor/3,neighbor/4,neighbor/5,property/0/_name,property/0/_type,property/0/__text,property/1/_name,property/1/_type,property/1/__text,shape/point/7/xCoord,shape/point/7/yCoord,neighbor/6,shape/point/8/xCoord,shape/point/8/yCoord,neighbor/7,shape/point/9/xCoord,shape/point/9/yCoord,neighbor/8
58,Leavesden,-0.4317939,51.72935,-0.42704752,51.686573,-0.41590402,51.683224,-0.40534797,51.700817,-0.40270028,51.72314,-0.4317939,51.72935,,,true,-0.41764715,51.691143,286,447,450,549,659,,N points,numeric,23.0,Colour,string,52;0;201,,,,,,,,,
59,Crane Court,-0.114863254,51.51675,-0.11354424,51.520123,-0.10739084,51.519634,-0.10491087,51.516716,-0.10919447,51.51081,-0.11243525,51.511612,-0.114863254,51.51675,true,-0.110105105,51.515247,23,46,53,62,66,100,N points,numeric,118.0,Colour,string,209;212;255,,,,,,,,,
60,Pentonville,-0.12084615,51.52586,-0.12050044,51.528862,-0.11288246,51.539173,-0.10798004,51.532703,-0.11538348,51.523457,-0.120498486,51.525185,-0.12084615,51.52586,true,-0.115783066,51.529522,17,50,62,84,94,100,N points,numeric,105.0,Colour,string,193;199;255,,,,,,,,,
61,Middlesex Hospital,-0.13760921,51.516586,-0.14181499,51.518867,-0.14044812,51.525257,-0.13395084,51.522144,-0.13760921,51.516586,,,,,true,-0.13798757,51.52028,16,29,47,73,,,N points,numeric,95.0,Colour,string,210;197;255,,,,,,,,,
62,Holborn,-0.11966766,51.514866,-0.114863254,51.51675,-0.11354424,51.520123,-0.11538348,51.523457,-0.120498486,51.525185,-0.12301288,51.52147,-0.123009674,51.516617,true,-0.11937802,51.518875,11,15,46,50,59,60,N points,numeric,163.0,Colour,string,205;204;255,-0.11966766,51.514866,100,,,,,,
63,Camden Town,-0.14285667,51.53019,-0.13524167,51.533974,-0.13499145,51.53428,-0.13290589,51.545727,-0.1359805,51.55005,-0.14918184,51.537384,-0.14657399,51.530987,true,-0.14110073,51.538685,41,47,72,73,112,118,N points,numeric,210.0,Colour,string,182;178;255,-0.14285667,51.53019,123,,,,,,
64,Old Change,-0.095774494,51.510025,-0.093300104,51.512333,-0.09343433,51.515087,-0.09791676,51.51584,-0.0996684,51.51117,-0.095774494,51.510025,,,true,-0.09738834,51.513252,5,10,19,25,48,,N points,numeric,142.0,Colour,string,213;224;255,,,,,,,,,
65,Victoria,-0.14712328,51.500336,-0.13936321,51.496693,-0.13946626,51.488815,-0.15015529,51.489223,-0.1519851,51.492065,-0.15076205,51.49791,-0.14712328,51.500336,true,-0.14444678,51.495003,8,54,74,76,81,96,N points,numeric,164.0,Colour,string,250;211;255,,,,,,,,,
66,Blackfriars,-0.104791895,51.51669,-0.101172544,51.510887,-0.102757394,51.50795,-0.107630044,51.50794,-0.10919447,51.51081,-0.10491087,51.516716,-0.104791895,51.51669,true,-0.10469274,51.511322,5,10,23,53,59,71,N points,numeric,111.0,Colour,string,215;219;255,,,,,,,,,
67,St James's,-0.14521919,51.50616,-0.14562753,51.507244,-0.1429249,51.511566,-0.13919978,51.512142,-0.13681328,51.50972,-0.1364111,51.50825,-0.13657758,51.50697,true,-0.14000133,51.509007,6,8,16,20,22,35,N points,numeric,150.0,Colour,string,228;206;255,-0.13928567,51.5051,54,-0.14521919,51.50616,77,,,
68,West Kingsdown,0.23930366,51.365376,0.24348027,51.375683,0.27307096,51.38859,0.2810971,51.37835,0.28644478,51.344498,0.2646036,51.326363,0.2565433,51.32845,true,0.26137978,51.358257,438,458,475,527,532,552,N points,numeric,208.0,Colour,string,123;249;0,0.23930366,51.365376,560,,,,,,
69,Moorgate Railway Station,-0.091985025,51.517445,-0.08553867,51.51552,-0.08403988,51.51701,-0.08329938,51.521435,-0.08872733,51.523876,-0.0922202,51.51944,-0.091985025,51.517445,true,-0.087674715,51.519157,24,25,44,45,48,70,N points,numeric,89.0,Colour,string,207;227;255,,,,,,,,,
70,Liverpool Street,-0.07696808,51.513855,-0.08403988,51.51701,-0.08329938,51.521435,-0.08266147,51.521786,-0.07749,51.521233,-0.076027654,51.514244,-0.07696808,51.513855,true,-0.07990418,51.517857,14,24,34,37,44,69,N points,numeric,158.0,Colour,string,208;234;255,,,,,,,,,
71,Southwark,-0.107630044,51.50794,-0.10911842,51.503925,-0.10531124,51.496807,-0.10224181,51.498158,-0.10049875,51.504322,-0.102757394,51.50795,-0.107630044,51.50794,true,-0.10467914,51.504566,5,23,43,66,82,107,N points,numeric,76.0,Colour,string,222;222;255,,,,,,,,,
72,Regent's Park,-0.14657399,51.530987,-0.14918184,51.537384,-0.1579413,51.543106,-0.16957843,51.539536,-0.1682665,51.52897,-0.16805351,51.52873,-0.15093768,51.526543,true,-0.1558701,51.532665,63,73,79,118,122,153,N points,numeric,211.0,Colour,string,196;179;255,-0.14657399,51.530987,154,,,,,,
73,Regent's Park Und.St.,-0.14044812,51.525257,-0.14285667,51.53019,-0.14657399,51.530987,-0.15093768,51.526543,-0.15101977,51.518932,-0.15066743,51.518436,-0.14475934,51.51722,true,-0.14472966,51.52172,16,40,47,61,63,72,N points,numeric,149.0,Colour,string,210;193;255,-0.14181499,51.518867,77,-0.14044812,51.525257,79,,,
74,Carlton Tower,-0.15705039,51.503857,-0.15971293,51.502728,-0.16319358,51.49213,-0.1519851,51.492065,-0.15076205,51.49791,-0.15705039,51.503857,,,true,-0.15771244,51.49778,49,54,65,76,88,,N points,numeric,69.0,Colour,string,248;203;255,,,,,,,,,
75,Kensington,-0.18210733,51.500885,-0.18590268,51.487778,-0.18710156,51.487915,-0.20020449,51.502132,-0.2004694,51.504646,-0.18397091,51.50527,-0.18210733,51.500885,true,-0.1887654,51.49887,39,85,93,95,103,140,N points,numeric,155.0,Colour,string,249;185;255,,,,,,,,,
76,Burton Court,-0.1519851,51.492065,-0.16319358,51.49213,-0.16531052,51.491116,-0.1621795,51.47483,-0.16033141,51.473816,-0.15359804,51.47615,-0.15015529,51.489223,true,-0.15777852,51.486416,65,74,81,88,124,146,N points,numeric,138.0,Colour,string,255;204;246,-0.1519851,51.492065,175,,,,,,
77,Oxford Street,-0.15140983,51.510418,-0.14562753,51.507244,-0.1429249,51.511566,-0.14475934,51.51722,-0.15066743,51.518436,-0.15140983,51.510418,,,true,-0.14650588,51.513073,16,40,54,67,73,,N points,numeric,131.0,Colour,string,223;200;255,,,,,,,,,
78,Bermondsey,-0.077778056,51.49741,-0.065266035,51.4921,-0.064549364,51.493694,-0.067899086,51.509384,-0.068561725,51.509853,-0.07620093,51.506054,-0.077778056,51.49741,true,-0.07391086,51.50429,14,21,91,99,161,179,N points,numeric,226.0,Colour,string,222;249;255,,,,,,,,,
79,Baker Street,-0.15093768,51.526543,-0.16805351,51.52873,-0.16448796,51.516376,-0.15101977,51.518932,-0.15093768,51.526543,,,,,true,-0.15724826,51.52186,40,72,73,122,,,N points,numeric,242.0,Colour,string,212;188;255,,,,,,,,,
