id,Name,Resident-Visitors-Total,Resident-Visits-Total,Resident-Visits-Per-Visitor,Resident-Visitors-Percent,Resident-Visits-Percent,Resident-Visits-Per-Visitor-Percent,Tourist-Visitors-Total,Tourist-Visits-Total,Tourist-Visits-Per-Visitor,Tourist-Visitors-Percent,Tourist-Visits-Percent,Tourist-Visits-Per-Visitor-Percent,Net-Visitors-Percent,Net-Visits-Percent,Net-Visits-Per-Visitor-Percent,Difference
63,63,16318,21702,1.329942395,0.005990209,0.005531286,0.001476084,15487,16759,1.082133402,0.006802658,0.006602435,0.001594078,-0.000812449,-0.001071149,-0.000117994,-0.128519799
64,64,4010,5028,1.253865337,0.001472039,0.001281509,0.001391647,3369,3616,1.073315524,0.001479832,0.001424572,0.001581088,-7.79E-06,-0.000143063,-0.000189441,-0.163350301
65,65,15702,19396,1.235256655,0.00576408,0.004943545,0.001370994,23015,25051,1.088464045,0.010109329,0.00986918,0.001603404,-0.004345249,-0.004925635,-0.00023241,0.127230184
66,66,4666,6261,1.341834548,0.001712852,0.001595769,0.001489283,3901,4206,1.078185081,0.001713513,0.001657011,0.001588262,-6.61E-07,-6.12E-05,-9.90E-05,-0.196331327
67,67,10529,12656,1.202013487,0.003865113,0.003225691,0.001334097,14771,16352,1.107034053,0.006488156,0.006442092,0.001630759,-0.002623043,-0.0032164,-0.000296661,0.127413127
68,68,919,1119,1.217627856,0.000337358,0.000285205,0.001351428,1541,1633,1.059701493,0.000676884,0.000643342,0.001561034,-0.000339526,-0.000358138,-0.000209606,0.186773256
69,69,6493,8694,1.33898044,0.002383529,0.002215879,0.001486115,4877,5423,1.11195407,0.00214222,0.002136464,0.001638006,0.000241309,7.94E-05,-0.000151891,-0.231706453
70,70,14451,18367,1.270984707,0.005304848,0.004681279,0.001410648,12804,13698,1.069821931,0.005624152,0.005396512,0.001575942,-0.000319304,-0.000715233,-0.000165295,-0.145610479
71,71,7206,9675,1.342631141,0.002645266,0.002465911,0.001490167,5509,6416,1.164639681,0.002419826,0.00252767,0.001715617,0.00022544,-6.18E-05,-0.00022545,-0.202535579
72,72,4194,5035,1.200524559,0.001539584,0.001283293,0.001332445,4991,5342,1.070326588,0.002192295,0.002104553,0.001576686,-0.00065271,-0.00082126,-0.000244241,0.029584658
73,73,8770,11253,1.283124287,0.003219398,0.002868102,0.001424121,8342,9227,1.106089667,0.00366422,0.003635102,0.001629368,-0.000444822,-0.000766999,-0.000205247,-0.098925781
74,74,5609,6987,1.245676591,0.00205902,0.001780808,0.001382559,7552,9150,1.211599576,0.003317213,0.003604766,0.001784793,-0.001258193,-0.001823958,-0.000402235,0.134039784
75,75,8940,12065,1.349552573,0.003281803,0.003075061,0.001497849,11598,13887,1.197361614,0.005094417,0.005470972,0.001763819,-0.001812613,-0.002395911,-0.00026597,0.070206535
76,76,4826,5850,1.212184003,0.001771586,0.001491016,0.001345386,4977,5413,1.087602974,0.002186145,0.002132525,0.001602135,-0.000414559,-0.000641509,-0.00025675,-0.038799609
77,77,11612,13731,1.182483638,0.004262673,0.003499681,0.001312422,16130,18408,1.141227526,0.007085096,0.007252081,0.001681129,-0.002822422,-0.003752399,-0.000368707,0.14552413
78,78,8010,10310,1.287141074,0.002940408,0.002627756,0.001428579,9728,10510,1.080386513,0.00427302,0.004140557,0.001591505,-0.001332612,-0.001512801,-0.000162925,0.009606148
79,79,11940,16092,1.347738693,0.00438308,0.00410144,0.001495836,16774,19077,1.137295815,0.007367973,0.007515642,0.001675337,-0.002984893,-0.003414202,-0.000179501,0.084875885
80,80,3684,5619,1.5252443,0.001352367,0.00143214,0.001692847,2118,2463,1.162889518,0.000930331,0.000970332,0.001713039,0.000422037,0.000461807,-2.02E-05,-0.390497402
81,81,7261,9826,1.353257127,0.002665456,0.002504397,0.001501961,6312,6950,1.101077313,0.002772543,0.002738047,0.001621984,-0.000107088,-0.00023365,-0.000120023,-0.171435384
82,82,6261,8322,1.329180642,0.002298364,0.002121065,0.001475238,4311,4871,1.129900255,0.001893605,0.001918996,0.001664443,0.000404759,0.000202069,-0.000189204,-0.26157811
83,83,18364,25140,1.368982792,0.006741279,0.006407544,0.001519414,14054,15357,1.092713818,0.006173214,0.006050098,0.001609664,0.000568066,0.000357446,-9.02E-05,-0.24157345
84,84,7651,11026,1.441118808,0.002808622,0.002810246,0.001599477,7119,7671,1.07753898,0.003127018,0.003022094,0.00158731,-0.000318396,-0.000211848,1.22E-05,-0.179440552
85,85,7370,9359,1.269877883,0.002705469,0.00238537,0.001409419,12833,14760,1.150159744,0.00563689,0.005814902,0.001694287,-0.002931421,-0.003429532,-0.000284868,0.22393134
86,86,13592,19065,1.402663331,0.004989516,0.004859182,0.001556796,13856,15098,1.089636259,0.006086242,0.005948061,0.00160513,-0.001096726,-0.00108888,-4.83E-05,-0.116119779
87,87,5705,8334,1.460823839,0.00209426,0.002124124,0.001621347,7947,8977,1.129608657,0.003490716,0.003536611,0.001664013,-0.001396456,-0.001412487,-4.27E-05,0.037144012
88,88,8175,10439,1.276941896,0.003000978,0.002660635,0.001417259,17006,20835,1.225155827,0.007469878,0.00820823,0.001804763,-0.004468901,-0.005547596,-0.000387503,0.332416704
89,89,1237,1857,1.501212611,0.000454093,0.000473302,0.001666174,1160,1215,1.047413793,0.00050953,0.000478666,0.001542933,-5.54E-05,-5.36E-06,0.000123241,-0.208984375
90,90,4648,7206,1.550344234,0.001706244,0.001836625,0.001720705,3225,3683,1.142015504,0.00141658,0.001450968,0.00168229,0.000289664,0.000385658,3.84E-05,-0.323537515
91,91,7031,9868,1.403498791,0.002581025,0.002515101,0.001557723,5185,5582,1.07656702,0.002277509,0.002199104,0.001585878,0.000303515,0.000315997,-2.82E-05,-0.277411003
92,92,5730,7075,1.234729494,0.002103438,0.001803237,0.001370408,5001,5137,1.027194561,0.002196687,0.002023791,0.001513148,-9.32E-05,-0.000220554,-0.00014274,-0.158696364
93,93,10732,14862,1.384830414,0.003939632,0.003787944,0.001537003,12696,14686,1.156742281,0.005576713,0.005785748,0.001703983,-0.00163708,-0.001997804,-0.00016698,-0.00595641
