id_left,1,1.5,2,2.5,3,3.5,4,4.5,5,1_%,1.5_%,2_%,2.5_%,3_%,3.5_%,4_%,4.5_%,5_%,low,mid,high,average_rating
47,0,0,2,3,8,13,13,9,5,0,0,0.037735849,0.056603774,0.150943396,0.245283019,0.245283019,0.169811321,0.094339623,0.037735849,0.452830189,0.509433963,3.745283019
48,3,0,0,2,4,4,6,2,0,0.142857143,0,0,0.095238095,0.19047619,0.19047619,0.285714286,0.095238095,0,0.142857143,0.476190475,0.380952381,3.19047619
49,2,0,0,0,3,2,3,3,1,0.142857143,0,0,0,0.214285714,0.142857143,0.214285714,0.214285714,0.071428571,0.142857143,0.357142857,0.499999999,3.464285714
50,5,0,6,11,13,27,35,10,6,0.044247788,0,0.053097345,0.097345133,0.115044248,0.238938053,0.309734513,0.088495575,0.053097345,0.097345133,0.451327434,0.451327433,3.477876106
53,3,1,1,5,12,31,46,33,10,0.021126761,0.007042254,0.007042254,0.035211268,0.084507042,0.218309859,0.323943662,0.232394366,0.070422535,0.035211269,0.338028169,0.626760563,3.845070423
54,0,0,0,2,7,35,49,24,21,0,0,0,0.014492754,0.050724638,0.253623188,0.355072464,0.173913043,0.152173913,0,0.31884058,0.68115942,4.039855072
55,0,0,0,4,7,17,8,4,1,0,0,0,0.097560976,0.170731707,0.414634146,0.195121951,0.097560976,0.024390244,0,0.682926829,0.317073171,3.548780488
59,2,0,0,6,5,11,35,18,9,0.023255814,0,0,0.069767442,0.058139535,0.127906977,0.406976744,0.209302326,0.104651163,0.023255814,0.255813954,0.720930233,3.912790698
60,0,3,0,6,9,15,21,15,11,0,0.0375,0,0.075,0.1125,0.1875,0.2625,0.1875,0.1375,0.0375,0.375,0.5875,3.81875
61,1,0,5,2,22,27,45,22,13,0.00729927,0,0.03649635,0.01459854,0.160583942,0.197080292,0.328467153,0.160583942,0.094890511,0.04379562,0.372262774,0.583941606,3.799270073
62,1,2,2,5,29,28,47,17,10,0.007092199,0.014184397,0.014184397,0.035460993,0.205673759,0.19858156,0.333333333,0.120567376,0.070921986,0.035460993,0.439716312,0.524822695,3.687943262
63,4,1,2,13,22,51,51,22,10,0.022727273,0.005681818,0.011363636,0.073863636,0.125,0.289772727,0.289772727,0.125,0.056818182,0.039772727,0.488636363,0.471590909,3.633522727
64,0,0,2,3,4,16,25,16,6,0,0,0.027777778,0.041666667,0.055555556,0.222222222,0.347222222,0.222222222,0.083333333,0.027777778,0.319444445,0.652777777,3.909722222
65,12,7,15,10,37,49,75,33,11,0.048192771,0.02811245,0.060240964,0.040160643,0.148594378,0.196787149,0.301204819,0.13253012,0.044176707,0.136546185,0.38554217,0.477911646,3.467871486
66,0,0,1,3,2,11,16,7,4,0,0,0.022727273,0.068181818,0.045454545,0.25,0.363636364,0.159090909,0.090909091,0.022727273,0.363636363,0.613636364,3.852272727
67,1,5,9,13,21,60,102,61,33,0.003278689,0.016393443,0.029508197,0.042622951,0.068852459,0.196721311,0.33442623,0.2,0.108196721,0.049180329,0.308196721,0.642622951,3.867213115
69,0,0,6,5,3,14,15,14,2,0,0,0.101694915,0.084745763,0.050847458,0.237288136,0.254237288,0.237288136,0.033898305,0.101694915,0.372881357,0.525423729,3.652542373
70,5,1,3,7,27,30,46,26,8,0.032679739,0.006535948,0.019607843,0.045751634,0.176470588,0.196078431,0.300653595,0.169934641,0.052287582,0.05882353,0.418300653,0.522875818,3.640522876
71,0,0,0,2,7,16,26,9,2,0,0,0,0.032258065,0.112903226,0.258064516,0.419354839,0.14516129,0.032258065,0,0.403225807,0.596774194,3.814516129
