,idlat,lng,coordinates,name,rating,review_count,price_level,category
112,,-0.107047997415066,POINT (-0.107047997415066 51.5486755371094),The Lamb,4.0,5,1,arts
113,,-0.116744,POINT (-0.116744 51.513976),LSE Student Union,3.5,4,1,arts
114,,-0.126998727402006,POINT (-0.126998727402006 51.5137779806089),Seven Dials Club,4.0,4,1,arts
115,,-0.1349588,POINT (-0.1349588 51.5091499),Jermyn Street Theatre,4.0,4,1,arts
116,,-0.056304931640625,POINT (-0.056304931640625 51.5328821764466),DegreeArt,4.0,4,1,arts
117,,-0.0808073258652442,POINT (-0.0808073258652442 51.5038976218874),Unicorn Theatre,4.0,3,1,arts
118,,-0.056701,POINT (-0.056701 51.526549),10 Gales,5.0,3,1,arts
119,,-0.10821,POINT (-0.10821 51.50806),gallery@oxo,3.5,3,1,arts
120,,-0.130201,POINT (-0.130201 51.527087),The Crypt Gallery,3.5,3,1,arts
121,,-0.1139852,POINT (-0.1139852 51.4618193),Photofusion Gallery,4.5,3,1,arts
122,,-0.07804,POINT (-0.07804 51.546324),Subtitles,4.5,3,1,arts
123,,-0.25562,POINT (-0.25562 51.50368),Vintage Wine Gifts,2.0,3,1,arts
124,,-0.187878,POINT (-0.187878 51.44179),Tara Theatre,4.5,3,1,arts
125,,-0.05293,POINT (-0.05293 51.51436),Eastend Cabaret,4.5,2,1,arts
126,,-0.062911,POINT (-0.06291099999999999 51.493676),Vibe Gallery,4.0,2,1,arts
127,,-0.021134,POINT (-0.021134 51.540207),Stour Space,4.0,2,1,arts
128,,-0.141596,POINT (-0.141596 51.518446),Nettie Horn,4.0,2,1,arts
129,,-0.023148,POINT (-0.023148 51.542966),The Elevator Gallery,4.5,2,1,arts
130,,-0.08328,POINT (-0.08328000000000001 51.5262049),Red Gallery,3.0,2,1,arts
131,,-0.197963325130197,POINT (-0.197963325130197 51.5517344256622),Monsters Of Art Studio And Gallery,5.0,2,1,arts
132,,0.0090034,POINT (0.0090034 51.5683582),Luna Lounge,4.5,2,1,arts
133,,0.00461330209964217,POINT (0.00461330209964217 51.5222066460632),Arch1,4.0,2,1,arts
134,,-0.117566460750618,POINT (-0.117566460750618 51.5115565765913),The Cortauld Gallery,4.5,2,1,arts
135,,-0.0737111,POINT (-0.0737111 51.5161928),Women's Library,5.0,2,1,arts
136,,-0.0231933,POINT (-0.0231933 51.5424016),Schwartz Gallery,3.5,2,1,arts
137,,-0.110434,POINT (-0.110434 51.4877),Camera Club,4.0,2,1,arts
138,,-0.1093237,POINT (-0.1093237 51.617336),The Inn On The Green,4.0,2,1,arts
139,,-0.127742007374763,POINT (-0.127742007374763 51.510799407959),Tender Product,4.5,2,1,arts
140,,-0.0770500004291534,POINT (-0.0770500004291534 51.4739990234375),New Gallery London,5.0,1,1,arts
141,,-0.0831572,POINT (-0.0831572 51.5247955),71A,4.0,1,1,arts
142,,-0.0259554013609886,POINT (-0.0259554013609886 51.4747054155083),Vinyl Deptford,5.0,1,1,arts
143,,-0.141448846557637,POINT (-0.141448846557637 51.5891166710637),Bonafide Studio,1.0,1,1,arts
144,,-0.105154,POINT (-0.105154 51.513349),St. Bride Foundation,4.0,1,1,arts
145,,-0.121472,POINT (-0.121472 51.5071),Embankment Pier,3.0,1,1,arts
146,,-0.1416344,POINT (-0.1416344 51.5106097),Helly Nahmad Gallery,5.0,1,1,arts
147,,-0.09963,POINT (-0.09963 51.467019),The Junction,5.0,1,1,arts
148,,-0.155793,POINT (-0.155793 51.474211),The Halo,5.0,1,1,arts
149,,-0.0390237,POINT (-0.0390237 51.5312506),Magus & the Fool - Art Café,5.0,1,1,arts
150,,-0.072462223470211,POINT (-0.072462223470211 51.5251792682723),state51,5.0,1,1,arts
151,,-0.074741,POINT (-0.074741 51.51958),Spitalfields Art Market,3.0,1,1,arts
