id_left,active_%,arts_%,auto_%,beautysvc_%,education_%,eventservices_%,financialservices_%,food_%,health_%,homeservices_%,hotelstravel_%,localflavor_%,localservices_%,massmedia_%,nightlife_%,pets_%,professional_%,publicservicesgovt_%,realestate_%,religiousorgs_%,restaurants_%,shopping_%
12,0,0.029739777,0,0.055762082,0,0.026022305,0,0.17472119,0.007434944,0,0.014869888,0,0,0,0.19330855,0,0,0,0,0,0.342007435,0.156133829
13,0.012658228,0.025316456,0,0.037974684,0.012658228,0.037974684,0,0.215189873,0,0.012658228,0.037974684,0,0.012658228,0,0.088607595,0,0,0,0,0,0.392405063,0.113924051
14,0,0,0,0,0,0.191176471,0,0.147058824,0,0,0.191176471,0,0,0,0.176470588,0,0,0,0,0,0.264705882,0.029411765
15,0,0.022900763,0,0.122137405,0,0.13740458,0,0.122137405,0.015267176,0,0.145038168,0,0,0.007633588,0.091603053,0,0,0,0,0,0.20610687,0.129770992
16,0,0.041198502,0,0.063670412,0,0.014981273,0,0.127340824,0,0.003745318,0.014981273,0,0.014981273,0,0.112359551,0,0,0.003745318,0,0,0.213483146,0.389513109
17,0,0,0,0.028571429,0,0.180952381,0,0.161904762,0,0,0.161904762,0,0.00952381,0,0.114285714,0,0,0,0,0,0.228571429,0.114285714
18,0,0.049751244,0,0.084577114,0,0.039800995,0,0.134328358,0.004975124,0,0.029850746,0,0,0,0.184079602,0,0.004975124,0,0,0,0.31840796,0.149253731
19,0,0.105263158,0,0,0,0.052631579,0,0.105263158,0,0,0.052631579,0,0,0,0.157894737,0,0,0,0,0,0.421052632,0.105263158
20,0.006369427,0.038216561,0,0.089171975,0,0.02866242,0,0.152866242,0.003184713,0,0.015923567,0,0.015923567,0,0.152866242,0,0,0,0,0,0.289808917,0.207006369
21,0,0.090909091,0,0,0,0.045454545,0,0.090909091,0,0,0.045454545,0,0.045454545,0,0.227272727,0,0,0,0,0,0.409090909,0.045454545
22,0.04,0.06,0,0.04,0,0.08,0,0.12,0,0,0.06,0.02,0,0,0.18,0,0,0,0,0,0.3,0.1
23,0,0.073170732,0,0.048780488,0,0.048780488,0,0.12195122,0.024390244,0,0.024390244,0,0.024390244,0,0.219512195,0,0.024390244,0,0,0,0.268292683,0.12195122
24,0,0.058394161,0,0.058394161,0,0.087591241,0,0.131386861,0.00729927,0.00729927,0.051094891,0,0.03649635,0,0.189781022,0,0,0,0.00729927,0,0.270072993,0.094890511
25,0,0.038461538,0,0.057692308,0,0.048076923,0,0.115384615,0.009615385,0,0.028846154,0,0.009615385,0,0.153846154,0,0,0.009615385,0,0.009615385,0.278846154,0.240384615
26,0.012269939,0.049079755,0,0.128834356,0,0.030674847,0,0.190184049,0.006134969,0.006134969,0,0,0.018404908,0,0.104294479,0,0,0,0,0,0.159509202,0.294478528
27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,0.004975124,0.049751244,0,0.07960199,0,0.069651741,0,0.109452736,0.014925373,0.004975124,0.049751244,0,0.029850746,0,0.15920398,0,0.004975124,0,0,0,0.218905473,0.2039801
30,0,0.03030303,0,0.121212121,0,0.181818182,0,0.121212121,0,0,0.181818182,0,0,0,0.242424242,0,0,0,0,0,0.121212121,0
31,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
32,0,0.115384615,0,0,0,0.153846154,0,0.153846154,0,0,0.076923077,0,0,0,0.192307692,0.038461538,0,0,0,0,0.153846154,0.115384615
33,0.01242236,0.01863354,0,0.037267081,0.00621118,0.02484472,0,0.310559006,0.00621118,0,0.031055901,0,0.01863354,0,0.186335404,0,0,0,0,0,0.304347826,0.043478261
34,0,0.085308057,0,0.090047393,0,0.047393365,0,0.156398104,0,0,0.023696682,0,0.014218009,0.004739336,0.184834123,0,0,0,0,0,0.255924171,0.137440758
35,0,0.038461538,0,0.038461538,0,0.038461538,0,0.192307692,0,0.038461538,0.038461538,0,0.038461538,0,0.115384615,0,0,0,0,0,0.307692308,0.153846154
36,0,0,0,0.125,0.041666667,0.041666667,0,0.166666667,0.041666667,0,0.041666667,0,0,0,0.208333333,0,0,0,0,0,0.208333333,0.125
37,0.006578947,0.032894737,0,0.098684211,0,0.032894737,0,0.177631579,0.006578947,0,0.013157895,0,0.013157895,0,0.072368421,0,0.006578947,0.006578947,0,0,0.302631579,0.230263158
